id,composition,energyperatom,volume,num_sites
K1Al1I4_sg105_icsd_056821_1,K1Al1I4,-2.57756,639.10808,12
K1Al1I4_sg105_icsd_056821_2,K1Al1I4,-2.57098,651.73407,12
K1Al1I4_sg112_icsd_165608_1,K1Al1I4,-2.78314,695.88833,12
K1Al1I4_sg112_icsd_165608_2,K1Al1I4,-2.7827,745.03036,12
K1Al1I4_sg114_icsd_165708_1,K1Al1I4,-2.81998,594.95307,12
K1Al1I4_sg114_icsd_165708_2,K1Al1I4,-2.43375,361.03935,12
K1Al1I4_sg11_icsd_093052_1,K1Al1I4,-2.68914,576.4108,12
K1Al1I4_sg11_icsd_093052_2,K1Al1I4,-2.81912,652.7705,12
K1Al1I4_sg11_icsd_418802_1,K1Al1I4,-2.70146,1279.86913,24
K1Al1I4_sg11_icsd_418802_2,K1Al1I4,-2.81794,1199.06154,24
K1Al1I4_sg120_icsd_026105_1,K1Al1I4,-2.71181,973.61328,24
K1Al1I4_sg122_icsd_002122_1,K1Al1I4,-2.75101,2997.96058,48
K1Al1I4_sg122_icsd_002122_2,K1Al1I4,-2.78407,2749.26701,48
K1Al1I4_sg124_icsd_108398_1,K1Al1I4,-2.35368,437.3042,12
K1Al1I4_sg124_icsd_108398_2,K1Al1I4,-2.61107,437.2497,12
K1Al1I4_sg125_icsd_067656_1,K1Al1I4,-2.25942,445.16077,12
K1Al1I4_sg125_icsd_067656_2,K1Al1I4,-2.70035,538.5961,12
K1Al1I4_sg127_icsd_085499_1,K1Al1I4,-2.57908,495.00649,12
K1Al1I4_sg129_icsd_006043_1,K1Al1I4,-2.62925,985.75936,24
K1Al1I4_sg129_icsd_006043_2,K1Al1I4,-2.62227,1309.55518,24
K1Al1I4_sg129_icsd_152951_1,K1Al1I4,-2.34505,582.75976,12
K1Al1I4_sg129_icsd_152951_2,K1Al1I4,-2.54653,524.54749,12
K1Al1I4_sg12_icsd_000821_1,K1Al1I4,-2.81908,1319.34412,24
K1Al1I4_sg12_icsd_000821_2,K1Al1I4,-2.66665,1113.92722,24
K1Al1I4_sg12_icsd_024078_1,K1Al1I4,-2.81048,1249.97481,24
K1Al1I4_sg12_icsd_024078_2,K1Al1I4,-2.82783,1247.0363,24
K1Al1I4_sg139_icsd_615085_1,K1Al1I4,-2.77673,2379.9701,48
K1Al1I4_sg13_icsd_033953_1,K1Al1I4,-2.79143,1255.19805,24
K1Al1I4_sg13_icsd_033953_2,K1Al1I4,-2.77758,1420.06753,24
K1Al1I4_sg13_icsd_082364_2,K1Al1I4,-2.66555,514.61345,12
K1Al1I4_sg13_icsd_168803_1,K1Al1I4,-2.55951,1348.76343,24
K1Al1I4_sg140_icsd_009929_1,K1Al1I4,-2.54354,955.55082,24
K1Al1I4_sg140_icsd_009929_2,K1Al1I4,-2.81465,1337.62647,24
K1Al1I4_sg140_icsd_016633_1,K1Al1I4,-2.74961,1169.03574,24
