id,composition,energyperatom,volume,num_sites
icsd_000008,Ba1S3Te1,-4.37838,565.32959,20
icsd_000012,Cl7Ga2K1,-3.34424,1132.18244,40
icsd_000022,Cl1Na1O2,-3.89135,121.94546,8
icsd_000027,As6Ca5Ga2,-4.33179,621.4654,26
icsd_000044,Ge1S2,-4.62298,910.00964,36
icsd_000050,I2S1Sn2,-3.51982,1940.83209,60
icsd_000071,Fe3Sn2,-4.35461,163.6038,10
icsd_000072,Be2F7Li2Rb1,-5.26562,615.66539,48
icsd_000077,Bi3Y5,-5.63287,919.38304,32
icsd_000079,I4Te1,-1.97236,3349.49164,80
icsd_000091,Ge4O9Rb2,-6.07954,1246.06706,90
icsd_000092,Ge3O9Rb2Ti1,-6.45051,1304.89629,90
icsd_000096,Nb1O2,-8.21535,560.95923,48
icsd_000104,Ga2Na8O7,-4.62089,909.61877,68
icsd_000105,Cl2Te3,-2.91419,605.29199,20
icsd_000106,Br1Te2,-2.805,767.47976,24
icsd_000107,I1Te2,-2.6576,863.56124,24
icsd_000108,I1Te1,-2.41583,303.76548,8
icsd_000113,Mg1P4,-4.94423,194.61504,10
icsd_000130,Cd5Cl1O12P3,-5.65284,521.81029,42
icsd_000143,C2N2Pb1S2,-6.55449,260.66071,14
icsd_000150,C1Ca1O3,-7.41532,239.57274,20
icsd_000154,Ca2Sb1,-3.58634,180.25804,6
icsd_000158,K4O4Sn1,-4.6771,356.94828,18
icsd_000165,Mn5Si2,-6.67612,691.84452,56
icsd_000169,Cu3Na2O12Si4,-6.35427,1040.81082,84
icsd_000185,Hf1S5Y2,-6.87081,638.86449,32
icsd_000187,Nb2O7Sr2,-7.66619,298.67961,22
icsd_000189,Ba2Mn1O6W1,-7.62225,137.48929,10
icsd_000193,As3Ca1,-4.55788,182.89394,8
icsd_000195,O5V3,-8.02109,166.54747,16
icsd_000196,O11V6,-7.92084,340.08902,34
icsd_000199,O2V1,-7.8361,137.01671,12
icsd_000243,Cu1Se2,-3.0766,228.77177,12
icsd_000251,In1O3Y1,-7.21554,415.69991,30
icsd_000280,Ba3Fe1S5,-5.12945,1005.8934,36
icsd_000284,Mg1O3V1,-7.18111,139.06565,10
icsd_000308,F2Sn1,-4.86965,426.96644,24
icsd_000311,I3P1,-2.54941,326.68385,8
icsd_000321,Br2F10Ge1,-3.53066,405.44652,26
icsd_000332,Fe2S4Si1,-5.53795,519.04407,28
icsd_000333,Fe2Ge1S4,-5.2693,530.73423,28
icsd_000356,Cu2S4Sn1Sr1,-4.10979,533.48294,24
icsd_000357,La1P5,-5.76214,254.30828,12
icsd_000367,Ga2Ge2O8Sr1,-6.38995,762.89804,52
icsd_000368,Ba1Ga2Ge2O8,-6.41106,811.93817,52
icsd_000374,Ag1N1O3,-4.99767,127.43634,10
icsd_000388,C4Na2O8Sn1,-6.81819,381.97362,30
icsd_000389,F4Na1Ti1,-5.57082,317.01026,24
icsd_000403,Ge2Mn2Sr1,-4.4609,100.86295,5
icsd_000406,Ca1Co2Ge2,-4.47375,82.64,5
icsd_000407,Co2Ge2Sr1,-4.42114,88.64208,5
icsd_000408,Ca1Ge2Ni2,-4.26454,83.06554,5
icsd_000411,Ge2Sr1Zn2,-3.0581,101.30905,5
icsd_000412,Au2Ca1Si2,-3.70503,93.49862,5
icsd_000413,Au2Si2Sr1,-3.65741,96.82128,5
icsd_000414,Ag2Sn2Sr1,-2.55125,127.9092,5
icsd_000415,Ga2Mn1Se4,-4.56848,173.32733,7
icsd_000417,Cl5Pb2Tl1,-3.50878,885.5241,32
icsd_000426,As1Br3Ca3,-4.0098,206.42507,7
icsd_000429,Fe1Nb1O4,-7.70922,152.51707,12
icsd_000431,As1Zn1,-3.06869,312.38386,16
icsd_000432,As1Cd1,-2.85983,375.38959,16
icsd_000433,Ca11Sb10,-3.95568,1240.30332,42
icsd_000434,Bi10Ca11,-3.79199,1328.27612,42
icsd_000438,Cs2O4S1,-5.49086,564.26894,28
icsd_000462,C2La2O2,-8.03169,102.45214,6
icsd_000467,Na1O12P3Zr2,-7.73895,510.22184,36
icsd_000484,Bi2Cl1In1S4,-4.17049,185.81931,8
icsd_000488,Ga2S3,-4.35169,213.12654,10
icsd_000494,Mg1O3Se1,-5.59869,227.36678,20
icsd_000501,In2Te5,-3.24863,486.19452,14
icsd_000604,Cl6K2Sn1,-3.37047,249.25075,9
icsd_000616,Ba1Ga2Ge2O8,-6.39679,813.75437,52
icsd_000641,Cl1Cu1Te2,-2.85871,438.18456,16
icsd_000642,S2Sr1,-4.69667,141.46349,6
icsd_000647,Cl1F1Sn1,-4.23555,271.03654,12
icsd_000660,Cl4Co1K2,-3.62863,2417.89908,84
icsd_000661,Cl4Co1K2,-3.63009,793.93363,28
icsd_000662,C1K2O3,-6.088,196.15305,12
icsd_000807,Cd4K1O12V3,-5.99184,554.57749,40
icsd_000808,Br3Cd1Rb1,-2.60855,618.81867,20
icsd_000811,O4Pb1W1,-7.47912,357.47063,24
icsd_000813,Cl4Co1Na2,-3.58626,711.57884,28
icsd_000814,Cl4Na2Zn1,-3.16124,705.9993,28
icsd_000816,As1F7Sn1,-4.61567,408.03662,27
icsd_000817,Cl3Mn1Rb1,-4.42058,791.60407,30
icsd_000821,Cr1P1S4,-5.38129,240.88968,12
icsd_000828,Be2O7Rb2Si2,-6.83707,382.20416,26
icsd_000834,Be13Sb1,-3.6134,253.46589,28
icsd_000843,C2Ag1N3,-6.89189,256.80594,18
icsd_000859,Co2O4Si1,-6.85785,134.83829,14
icsd_000862,Ca1Sb2,-4.02696,172.84327,6
icsd_000863,Ag4K2S3,-2.48291,410.73812,18
icsd_000868,Cl1Zr1,-5.53475,90.13156,4
icsd_000914,Na2O7Sb4,-5.63513,457.90568,26
icsd_000922,Ba1Co1O3,-6.10226,131.13993,10
icsd_000935,Li1Te3,-3.21407,1403.80195,48
icsd_000937,Cr1P1S4,-4.96838,241.96447,12
icsd_000948,F4O2Sn4,-5.24984,188.65639,10
icsd_000949,Ag4P2S7,-3.51665,546.45452,26
icsd_000952,C1N1Na1S1,-6.05654,301.15959,16
icsd_000957,Au3Sb4Y3,-4.60856,473.19385,20
icsd_000971,Cu2Mn3O8,-6.32565,130.54884,13
icsd_000990,Ru1Sb1,-5.18787,145.20523,8
icsd_000992,P2Ru1,-6.19482,86.54677,6
icsd_000994,As2Ru1,-5.48552,99.6314,6
icsd_000999,As2V3,-6.23674,295.58114,20
icsd_001004,Cl1Sc1,-4.87846,93.00212,4
icsd_001010,Cl4Nb1,-4.26173,245.67858,10
icsd_001014,F12Sb2Se4Te2,-4.23566,1671.82437,80
icsd_001015,As2F12Se4Te2,-4.12015,1584.98436,80
icsd_001018,Cl10Sc7,-4.88388,403.09957,17
icsd_001024,Bi2Ni3Se2,-4.00275,271.14677,14
icsd_001025,Fe2Na4O5,-5.45868,599.0808,44
icsd_001026,Mn2Na4O5,-5.72627,265.50417,22
icsd_001029,Co1I4Rb2,-2.88498,609.19153,14
icsd_001034,Ag3Rb1S2,-2.33892,276.92022,12
icsd_001036,As1Na3S3,-3.85269,630.08403,28
icsd_001047,Cl9P1V1,-3.47202,598.48879,22
icsd_001054,Ag8S6Si1,-2.68593,1175.4646,60
icsd_001078,Al3Ba10Ge7,-3.63922,1355.63999,40
icsd_001079,As4Mg1,-4.26105,458.11396,20
icsd_001089,Si2Ti1,-5.95608,84.82541,6
icsd_001096,P2Pd15,-3.4587,249.1171,17
icsd_001108,Na2O4Te1,-5.07563,370.02465,28
icsd_001118,Fe3Na7O8,-5.32856,500.03971,36
icsd_001119,O2Rb2Zn1,-3.90933,845.99252,40
icsd_001120,K2O7Zn6,-4.38692,395.91355,30
icsd_001123,Li1O9P3Pb1,-6.82048,353.57843,28
icsd_001129,Ba1Br1F1,-4.91398,151.21648,6
icsd_001130,Ca1Cl1F1,-5.07398,103.38294,6
icsd_001133,Mo1Ni1P1,-6.02945,110.19073,9
icsd_001139,Cl4Mn1Rb2,-4.12118,205.80518,7
icsd_001142,Bi2Br9Cs3,-3.08405,543.06316,14
icsd_001146,Fe2O6W1,-7.58487,381.07428,36
icsd_001147,Fe2O6W1,-7.58375,381.07428,36
icsd_001151,Ba2Mn1Te3,-4.78729,872.61689,24
icsd_001152,Ag1Au1Cl4,-2.06352,298.57852,12
icsd_001153,Cu1Na2P1,-2.89611,160.36899,8
icsd_001154,Ag1As1K2,-2.28918,238.86878,8
icsd_001155,Ag1K2Sb1,-2.17557,271.75946,8
icsd_001156,Ag1Bi1K2,-2.09126,280.07971,8
icsd_001168,Br1Zr1,-5.15857,99.44257,4
icsd_001194,C1B1F6K1,-5.46142,491.29795,36
icsd_001199,I3Pb1Tl1,-2.78937,408.13647,10
icsd_001203,Sn3Sr5,-3.19226,585.64075,16
icsd_001237,Ba1Si2,-4.60756,75.60043,3
icsd_001238,K3Si1Te3,-3.41484,519.80686,14
icsd_001239,O2Rb9,-2.23747,1324.73837,22
icsd_001245,Bi3In5,-3.19244,462.81959,16
icsd_001247,Bi1In2,-3.17648,169.83815,6
icsd_001249,Bi1In2,-3.17739,172.0386,6
icsd_001250,Bi1In2,-3.17737,172.36772,6
icsd_001262,Cl5Pb1Tl3,-3.28504,1064.25011,36
icsd_001263,K2S3,-3.711,270.75212,10
icsd_001264,K2Se3,-3.33717,308.90509,10
icsd_001270,O2Rb1Sc1,-6.68483,117.03056,8
icsd_001282,Al2Ba1Ge2O8,-6.96751,785.60499,52
icsd_001286,Fe4La1P12,-5.86626,240.17151,17
icsd_001291,Be1O6P2,-7.20734,414.36851,36
icsd_001299,Ag6O7Si2,-4.55428,407.10947,30
icsd_001303,Ca1Cu3Ge4O12,-5.7926,186.77956,20
