id,composition,energyperatom,volume,num_sites
Mg1Ti1Cd1Cl5N1_sg129_icsd_420040_4,Mg1Ti1Cd1Cl5N1,-2.75884,484.87854,18
Mg1Sc1F1Br4_sg15_icsd_183878_4,Mg1Sc1F1Br4,-2.48872,1109.42756,28
K3F1O1_sg2_icsd_069655_2,K3F1O1,-3.6322,510.47606,20
Mg1Ge1Br4S1_sg62_icsd_421845_4,Mg1Ge1Br4S1,-2.28172,930.90505,28
Mg1Hf1N2_sg5_icsd_085130_1,Mg1Hf1N2,-7.33813,426.0988,32
Mg1Ti1O3_sg178_icsd_078438_1,Mg1Ti1O3,-6.34177,414.69074,30
K1Cd1Al1N1P1_sg11_icsd_094400_44,K1Cd1Al1N1P1,-3.01848,514.61579,10
Li1B1O2_sg7_icsd_248117_1,Li1B1O2,-6.08147,218.25943,32
Zn1Zr1P2_sg163_icsd_075971_2,Zn1Zr1P2,-5.09019,151.23136,8
Li1Hg1P1S4_sg140_icsd_097457_2,Li1Hg1P1S4,-3.57474,981.93188,28
Na2Al1Cl5_sg1_icsd_028541_1,Na2Al1Cl5,-2.20694,1226.72383,16
Mg1Hf1P1Cl1O5_sg85_icsd_085758_22,Mg1Hf1P1Cl1O5,-5.4365,283.48722,18
Mg1Al1Cl5_sg11_icsd_001623_2,Mg1Al1Cl5,-3.1698,438.78042,14
Mg1Hg1F4_sg124_icsd_108398_1,Mg1Hg1F4,-3.06291,163.20241,12
Zn1Hf1Cd1O4_sg63_icsd_097767_2,Zn1Hf1Cd1O4,-5.74105,404.0796,28
Zn3Cl2O2_sg12_icsd_000453_2,Zn3Cl2O2,-2.536,225.34,14
Mg1Ti1Al1N3_sg31_icsd_036478_2,Mg1Ti1Al1N3,-5.76199,290.72566,24
Mg2Cl1P1_sg166_icsd_073482_2,Mg2Cl1P1,-3.47653,236.85591,12
Zn4Cl2S3_sg12_icsd_041886_1,Zn4Cl2S3,-2.13315,458.31348,18
K2Sc1Sn1Cl1S4_sg19_icsd_409773_3,K2Sc1Sn1Cl1S4,-2.28096,1871.37021,36
Zn1Hg1Si2P4_sg145_icsd_010005_1,Zn1Hg1Si2P4,-3.64523,548.42091,24
Li2Hf1N2_sg147_icsd_016232_2,Li2Hf1N2,-4.80325,167.73136,15
Na1Cl1_sg25_icsd_043951_2,Na1Cl1,-2.01345,56.42241,2
Mg2Cl1P1_sg115_icsd_183790_2,Mg2Cl1P1,-3.4493,101.00627,4
K2W1Si1N4_sg60_icsd_081068_1,K2W1Si1N4,-3.60803,1181.87374,32
Mg1Ti1Cd1Cl5N1_sg11_icsd_166586_22,Mg1Ti1Cd1Cl5N1,-1.38591,928.0969,18
Na1Hf1Sn1Cl1O4_sg2_icsd_094532_24,Na1Hf1Sn1Cl1O4,-4.77588,576.74933,16
Li1Y1Hg1Br4I2_sg62_icsd_167006_5,Li1Y1Hg1Br4I2,-1.96509,1541.68355,36
Mg3La1N3_sg15_icsd_411608_1,Mg3La1N3,-3.48066,746.57824,28
Li1B1O2_sg194_icsd_025588_1,Li1B1O2,-6.68145,154.99775,16
Mg3Hg1Cl2O3_sg57_icsd_411520_2,Mg3Hg1Cl2O3,-2.466,642.01,36
Na5Cd2N3_sg159_icsd_087349_1,Na5Cd2N3,-2.268,391.15,20
Zn1I2_sg121_icsd_016809_1,Zn1I2,-1.84171,556.41457,12
Zn1Ge1O3_sg53_icsd_010129_1,Zn1Ge1O3,-3.1189,305.84816,20
Mg1Ti1O3_sg189_icsd_028603_2,Mg1Ti1O3,-5.50859,220.09519,15
Zn1Ti1P2_sg20_icsd_280555_1,Zn1Ti1P2,-4.67423,253.60592,16
Na4Br3I1_sg217_icsd_044707_1,Na4Br3I1,-2.61299,585.85234,16
Na1Zr1F1Cl4_sg11_icsd_024377_1,Na1Zr1F1Cl4,-2.4156,994.63262,14
Zn1F2_sg143_icsd_151889_1,Zn1F2,-3.78804,109.75812,9
K1Zr1Ge1Br1O4_sg2_icsd_184601_17,K1Zr1Ge1Br1O4,-3.18443,404.36734,16
Li3P1_sg129_icsd_088367_1,Li3P1,-3.203,219.36,8
Mg1Y1F4I1_sg11_icsd_024377_3,Mg1Y1F4I1,-3.03969,754.52437,14
Mg1Br2_sg28_icsd_038213_1,Mg1Br2,-2.72485,643.93378,24
Mg1Br2_sg194_icsd_018133_1,Mg1Br2,-2.95555,313.86835,12
K1Sb1N2_sg71_icsd_170343_1,K1Sb1N2,-4.29568,527.05511,32
Mg1Y1Sn1F5S2_sg2_icsd_027304_5,Mg1Y1Sn1F5S2,-3.81262,387.97781,20
Zn1Cd1Ge1F5P1_sg100_icsd_075318_9,Zn1Cd1Ge1F5P1,-3.28417,373.12717,18
Na3P1_sg139_icsd_710068_1,Na3P1,-2.051,782.36,32
Zn1Zr1S3_sg148_icsd_201765_2,Zn1Zr1S3,-4.53464,248.96543,10
Mg1S1_sg142_icsd_095834_2,Mg1S1,-0.38688,995.68514,32
K1Sn1Sb2P5_sg63_icsd_098476_1,K1Sn1Sb2P5,-4.13258,944.13611,36
Zn2La2O5_sg65_icsd_023084_2,Zn2La2O5,-2.02417,689.10996,18
Li4Cl1N1_sg82_icsd_400817_1,Li4Cl1N1,-3.22324,234.6636,12
Na4Ge1S4_sg12_icsd_421374_1,Na4Ge1S4,-3.35405,398.01669,18
Li4Ti1Ge1N4_sg62_icsd_422827_2,Li4Ti1Ge1N4,-4.15753,425.63414,40
Zn1Ge1O3_sg59_icsd_161621_1,Zn1Ge1O3,-4.28621,197.44812,10
Mg3N1P1_sg51_icsd_025754_2,Mg3N1P1,-3.37068,250.33316,10
Na2Zr1N1P1_sg62_icsd_038636_5,Na2Zr1N1P1,-2.61035,573.26634,20
Mg4Hf1P4_sg62_icsd_418945_2,Mg4Hf1P4,-0.58181,1917.98973,36
Li2B2Si1P4_sg14_icsd_020130_1,Li2B2Si1P4,-2.97696,474.09601,18
Na1Cd1Si1Cl4P1_sg2_icsd_184601_23,Na1Cd1Si1Cl4P1,-2.47401,542.66493,16
K2Zr1N2_sg70_icsd_096610_2,K2Zr1N2,-5.53827,975.31567,40
Zn1Cl2_sg52_icsd_062664_1,Zn1Cl2,-2.25641,640.00609,24
Zn1Sb1F1N2_sg2_icsd_171429_1,Zn1Sb1F1N2,-4.39375,270.47162,20
Mg3Al1Br3O3_sg176_icsd_423299_4,Mg3Al1Br3O3,-3.189,754.31,20
K1Zr1Ge1Br1O4_sg62_icsd_261343_20,K1Zr1Ge1Br1O4,-4.28743,662.81198,32
Na1La1Sn1S4_sg14_icsd_073694_6,Na1La1Sn1S4,-3.67958,1181.67995,28
Mg1Hg2N2_sg136_icsd_658829_1,Mg1Hg2N2,-2.4878,302.06508,20
Zn1Cl2_sg60_icsd_169571_1,Zn1Cl2,-2.23607,260.87935,12
Zn3Br2S2_sg12_icsd_262413_1,Zn3Br2S2,-2.005,635.88,28
Mg1Y1F3S1_sg31_icsd_036478_3,Mg1Y1F3S1,-4.7392,440.50557,24
Mg1Ti1Al1N3_sg194_icsd_165609_4,Mg1Ti1Al1N3,-5.35106,161.85098,12
Li2F1I1_sg17_icsd_093040_1,Li2F1I1,-2.53722,214.16919,8
Li2Ge1Br6_sg63_icsd_006041_1,Li2Ge1Br6,-2.40145,1592.33177,36
Na4Br3I1_sg47_icsd_020082_1,Na4Br3I1,-2.05537,236.56636,8
Mg1Hg2N2_sg157_icsd_023583_1,Mg1Hg2N2,-1.52592,126.7398,5
Mg1Hf1Cl2S2_sg58_icsd_411460_2,Mg1Hf1Cl2S2,-3.03542,334.8292,12
Li2Zr2O5_sg194_icsd_613190_1,Li2Zr2O5,-6.10048,541.71001,36
Mg1Si2O5_sg58_icsd_079406_1,Mg1Si2O5,-6.25392,283.38236,32
Na1Cd1I3_sg11_icsd_249504_1,Na1Cd1I3,-1.97608,637.01927,10
K1Zr1Zn1F5O1_sg85_icsd_085758_20,K1Zr1Zn1F5O1,-3.17942,466.53279,18
Li1Hg1Br3_sg38_icsd_041832_2,Li1Hg1Br3,-1.71294,591.26317,20
Zn1Zr1S3_sg146_icsd_174095_2,Zn1Zr1S3,-4.41698,97.30894,5
K2O1_sg79_icsd_024624_1,K2O1,-3.39217,136.9523,6
Li4Ti1O4_sg62_icsd_095649_1,Li4Ti1O4,-6.0004,395.03118,36
Mg1Ti1Al1N3_sg63_icsd_249698_6,Mg1Ti1Al1N3,-5.87408,298.64976,24
Na1Zr1F1Cl4_sg54_icsd_090735_1,Na1Zr1F1Cl4,-2.98058,716.46508,28
Na2Hf1Sn1O1S4_sg129_icsd_422707_5,Na2Hf1Sn1O1S4,-3.2492,602.82804,18
Li1Hg1B1Cl4S1_sg11_icsd_065346_12,Li1Hg1B1Cl4S1,-2.40776,480.33699,16
Li1Sc1Sb1P3_sg63_icsd_249698_1,Li1Sc1Sb1P3,-4.72523,643.04077,24
Mg1Sc1Hg1I1O3_sg174_icsd_248042_13,Mg1Sc1Hg1I1O3,-4.07167,226.84726,7
Na2Hg1Sn1O4_sg121_icsd_172505_1,Na2Hg1Sn1O4,-4.26602,236.29887,16
Li1Zn2I2N1_sg180_icsd_036110_4,Li1Zn2I2N1,-1.7594,681.45592,18
Li1Hg1Br3_sg129_icsd_181530_1,Li1Hg1Br3,-1.72773,330.57194,10
Na1F1_sg84_icsd_061063_1,Na1F1,-4.14402,247.8766,16
Na1Ti2W1P5_sg5_icsd_084683_1,Na1Ti2W1P5,-4.00603,894.10904,18
Mg2B2S5_sg1_icsd_200621_1,Mg2B2S5,-4.65361,413.46523,18
Mg1Sc1Ge1Cl3O3_sg173_icsd_016608_4,Mg1Sc1Ge1Cl3O3,-3.35748,1005.1869,18
Mg1Al1Br1I4_sg2_icsd_073692_6,Mg1Al1Br1I4,-2.41673,1163.93619,28
Na4Ge1S4_sg5_icsd_245453_2,Na4Ge1S4,-1.69723,1577.93945,36
Zn1Si1N2_sg65_icsd_092307_1,Zn1Si1N2,-3.58408,116.35628,8
Zn1Br2_sg212_icsd_652289_1,Zn1Br2,-0.92008,488.2009,12
K1Cl1_sg191_icsd_161110_2,K1Cl1,-3.0047,212.99814,6
K1La1Cl2Br2_sg164_icsd_628287_2,K1La1Cl2Br2,-3.17087,178.87867,6
Na1F1_sg190_icsd_043694_1,Na1F1,-4.19633,324.1306,24
Zn1Ge1O3_sg12_icsd_172846_2,Zn1Ge1O3,-4.42536,238.93091,20
Mg3N1P1_sg15_icsd_056837_2,Mg3N1P1,-2.79114,915.49914,40
Li1Hg1P1S4_sg136_icsd_079482_6,Li1Hg1P1S4,-2.48694,888.63451,28
Zn1B1Sn1S3P1_sg187_icsd_154682_17,Zn1B1Sn1S3P1,-2.06669,377.60592,7
Mg1Hg2N2_sg96_icsd_280333_1,Mg1Hg2N2,-3.25265,336.06906,20
Mg1W1F8_sg11_icsd_009920_2,Mg1W1F8,-5.163,333.12,20
Mg2Sc1Sn2N5_sg19_icsd_036593_2,Mg2Sc1Sn2N5,-1.604,2200.15,40
Mg1O1_sg2_icsd_077829_1,Mg1O1,-5.42421,211.6336,8
Zn1La1Br5_sg85_icsd_080646_1,Zn1La1Br5,-2.94756,731.37975,14
Li1Si1F1S2_sg54_icsd_085582_3,Li1Si1F1S2,-3.55464,344.74819,20
Mg1W1F8_sg2_icsd_063129_2,Mg1W1F8,-4.73996,277.98535,20
Zn1La2S4_sg71_icsd_614775_1,Zn1La2S4,-4.10201,343.36478,14
K1Y1O2_sg74_icsd_152544_1,K1Y1O2,-5.04421,332.69383,16
Zn1Sb2P4_sg164_icsd_660273_1,Zn1Sb2P4,-3.94563,360.3935,14
K3F1O1_sg221_icsd_201004_1,K3F1O1,-3.54815,135.73932,5
Li4O1S1_sg166_icsd_084649_1,Li4O1S1,-3.48628,302.07766,18
Li2Hf1Cd1S4_sg12_icsd_159467_1,Li2Hf1Cd1S4,-3.93579,738.17784,32
Mg1F2_sg225_icsd_168800_1,Mg1F2,-5.16297,123.99921,12
Li1F1_sg227_icsd_620095_2,Li1F1,-3.82397,157.40185,16
Na2Hf1Sn1O1S4_sg129_icsd_422707_2,Na2Hf1Sn1O1S4,-3.26941,558.77122,18
Na2Hf2I1P3_sg139_icsd_060667_1,Na2Hf2I1P3,-3.081,463.91,16
Zn1Ge1O3_sg140_icsd_035663_1,Zn1Ge1O3,-5.07238,216.669,20
K1Ge1Br1S2_sg4_icsd_169122_5,K1Ge1Br1S2,-2.24287,501.55361,10
Zn1Ge1O3_sg5_icsd_083607_2,Zn1Ge1O3,-3.68213,709.90553,30
Zn1Hf1Cd1O4_sg140_icsd_097457_4,Zn1Hf1Cd1O4,-4.69625,733.24498,28
Zn1Al2S1N2_sg136_icsd_072387_4,Zn1Al2S1N2,-2.68804,286.79338,12
K1Y1Cd1N2_sg29_icsd_048024_2,K1Y1Cd1N2,-2.01048,561.09855,20
Na3Cd1Br5_sg140_icsd_203087_1,Na3Cd1Br5,-2.56127,1369.06696,36
Mg3N1P1_sg225_icsd_029149_2,Mg3N1P1,-3.07404,818.90352,40
Zn1Cd1F4_sg14_icsd_071455_2,Zn1Cd1F4,-3.75462,175.0466,12
Na3La2N3_sg71_icsd_043231_2,Na3La2N3,-3.335,321.31,16
Mg3N1P1_sg217_icsd_028545_1,Mg3N1P1,-4.40962,582.10325,40
Li1Hf1Zn1F4N1_sg2_icsd_094532_4,Li1Hf1Zn1F4N1,-3.20773,411.94339,16
K1Ge1P1Br1N3_sg26_icsd_075401_13,K1Ge1P1Br1N3,-3.39098,474.50089,14
Li3B1Br3P1_sg148_icsd_408324_3,Li3B1Br3P1,-2.56524,1229.08626,48
Na2Cd1Hg1P2_sg52_icsd_085466_1,Na2Cd1Hg1P2,-2.47221,547.35614,24
Zn1Zr1S3_sg139_icsd_240442_1,Zn1Zr1S3,-4.20433,772.37068,40
Na2Hg1Sn1O4_sg82_icsd_262388_2,Na2Hg1Sn1O4,-4.33552,260.4036,16
K1Hf1Sn1N3_sg189_icsd_026678_3,K1Hf1Sn1N3,-1.70715,1013.97493,18
Li1Hg1P1S4_sg8_icsd_086792_2,Li1Hg1P1S4,-3.02836,580.99858,14
