id,reduced_comp,in_icsd,num_atoms,relaxed_volume,predicted_energy,vol_energyperatom,full_energyperatom,predicted_decomp,decomp_energy,sc_decomp_energy
Li1Sc2F7_icsd_016350_1,LiSc2F7,False,10,148.01,-6.136,-6.1712,-6.302,-1.6281,-1.7941,-1.7931
Na1Sc2F7_icsd_047227_1,NaSc2F7,False,20,292.42,-6.1389,-6.1818,-6.184,-2.9129,-2.9579,-1.758
K1Y2Br7_icsd_201429_1,KY2Br7,False,40,1436.96,-4.2552,-4.2483,-4.252,-1.7122,-1.709,-0.8412
Na1Y2Br7_icsd_201429_1,NaY2Br7,False,40,1471.84,-4.1781,-4.1744,-4.206,-1.3689,-1.3968,-0.83
Li1Y2Br7_icsd_201429_1,LiY2Br7,False,40,1411.76,-4.1759,-4.1644,-4.233,-1.5968,-1.6539,-0.8084
K1Sc2Br7_icsd_067168_1,KSc2Br7,False,20,696.85,-4.0274,-4.0154,-4.026,-1.5925,-1.591,-0.7766
Na1Sc2Br7_icsd_067168_1,NaSc2Br7,False,20,672.99,-3.934,-3.9321,-3.971,-1.2446,-1.2816,-0.7522
Li1Sc2Br7_icsd_074876_1,LiSc2Br7,False,20,857.24,-3.9388,-3.9109,-3.934,-1.4677,-1.4629,-0.6594
Li1Sc2Hf1Br11_icsd_081223_1,LiHfSc2Br11,False,15,511.14,-3.9673,-3.958,-4.079,-1.4173,-1.5289,-0.5537
K1Sc2I7_icsd_067168_1,KSc2I7,False,20,880.84,-3.48,-3.4741,-3.492,-1.1164,-1.1284,-0.5504
Na1Sc2I7_icsd_067168_1,NaSc2I7,False,20,894.75,-3.3991,-3.3898,-3.446,-1.0585,-1.1054,-0.5374
Na1Al2Br7_icsd_050701_1,NaAl2Br7,False,40,1894.64,-3.2567,-3.2395,-3.272,-1.0672,-1.0826,-0.5264
K1Al2Br7_icsd_000012_1,KAl2Br7,False,40,1550.34,-3.2995,-3.2893,-3.298,-1.0945,-1.093,-0.523
Li1Al2Br7_icsd_074876_1,LiAl2Br7,False,20,732.62,-3.2936,-3.2775,-3.293,-1.0525,-1.0519,-0.5012
Li1Y2Hf1Br11_icsd_081223_1,LiY2HfBr11,False,15,517.6,-4.1112,-4.0973,-4.212,-1.4892,-1.5899,-0.4873
Na1Y2Hf1Br11_icsd_081223_1,NaY2HfBr11,False,15,538.96,-4.1109,-4.0867,-4.188,-1.3355,-1.4125,-0.4813
K1Y2Hf1Br11_icsd_081223_1,KY2HfBr11,False,15,570.58,-4.1248,-4.0969,-4.204,-1.5268,-1.606,-0.4667
Na1Sc2Hf1Br11_icsd_081223_1,NaHfSc2Br11,False,15,501.11,-3.9599,-3.9408,-4.005,-1.2643,-1.3094,-0.455
K1Sc2Hf1Br11_icsd_081223_1,KHfSc2Br11,False,15,533.96,-3.9522,-3.9376,-4.026,-1.4263,-1.5,-0.4393
Li1Sc2I7_icsd_074876_1,LiSc2I7,False,20,1099.63,-3.3987,-3.379,-3.405,-0.6274,-0.6337,-0.4382
Na1Sc3F9I1_icsd_028012_2,NaSc3IF9,False,28,683.41,-5.653,-5.6333,-5.895,-1.747,-1.9894,-0.4187
K1Hf1Al2Br11_icsd_081223_1,KHfAl2Br11,False,15,840.4,-3.2566,-3.2458,-3.606,-0.884,-1.2334,-0.3814
Li1Sc3F9Cl1_icsd_010384_2,LiSc3ClF9,False,28,570.39,-5.7295,-5.716,-5.88,-1.5777,-1.7282,-0.3711
K1Ti2F9_icsd_084364_1,KTi2F9,False,24,435.99,-5.5334,-5.4815,-5.816,-0.2641,-0.5468,-0.3645
Na1Sc3F9Cl1_icsd_018100_2,NaSc3ClF9,False,28,615.7,-5.699,-5.6848,-5.811,-2.463,-2.5748,-0.3608
Na1Ti2F9_icsd_084364_1,NaTi2F9,False,24,385.99,-5.486,-5.453,-5.776,-0.2145,-0.5045,-0.3327
Li1Sc3F9Br1_icsd_018100_2,LiSc3BrF9,False,28,577.2,-5.6979,-5.6887,-5.86,-1.2676,-1.4297,-0.3218
Na1Sc3F9Br1_icsd_018100_2,NaSc3BrF9,False,28,629.26,-5.6696,-5.6612,-5.791,-2.1548,-2.2763,-0.3194
Li1Hf1Al2Br11_icsd_081223_1,LiHfAl2Br11,False,15,516.54,-3.2989,-3.2823,-3.519,-0.9021,-1.1223,-0.3081
Na1Sc2Ti1F11_icsd_081223_1,NaSc2TiF11,False,15,219.06,-6.0764,-6.0227,-6.146,-2.1947,-2.2642,-0.2923
Li1Sc2Ti1F11_icsd_081223_1,LiSc2TiF11,False,15,207.64,-6.1137,-6.0629,-6.199,-1.3775,-1.4627,-0.2666
Na1Sc3Br8I2_icsd_067711_1,NaSc3(IBr4)2,False,14,554.79,-3.5811,-3.4684,-3.96,-0.9802,-1.3591,-0.2617
Li1Sc3Br8I2_icsd_067711_1,LiSc3(IBr4)2,False,14,501.87,-3.6,-3.4753,-3.984,-1.044,-1.4284,-0.2583
K1Sc3F8Br2_icsd_067711_1,KSc3(BrF4)2,False,14,225.09,-5.4375,-5.3975,-5.736,-0.2232,-0.5217,-0.2506
