id,reduced_comp,in_icsd,full_energyperatom,sc_decomp_energy,cond_ion_frac,oxidation,reduction,stability_window,reward
Li1Sc2F7_icsd_016350_1,LiSc2F7,False,-6.302,-1.7931,0.1,-5.0,-0.7064,4.2936,0.8315
Na1Sc2F7_icsd_047227_1,NaSc2F7,False,-6.184,-1.758,0.1,-5.0,-0.88,4.12,0.8277
K1Y2Br7_icsd_201429_1,KY2Br7,False,-4.252,-0.8412,0.1,-5.0,-1.402,3.598,0.7984
Na1Y2Br7_icsd_201429_1,NaY2Br7,False,-4.206,-0.83,0.1,-5.0,-0.9733,4.0267,0.8067
Li1Y2Br7_icsd_201429_1,LiY2Br7,False,-4.233,-0.8084,0.1,-5.0,-1.1873,3.8127,0.7995
K1Sc2Br7_icsd_067168_1,KSc2Br7,False,-4.026,-0.7766,0.1,-5.0,-1.7293,3.2707,0.784
Na1Sc2Br7_icsd_067168_1,NaSc2Br7,False,-3.971,-0.7522,0.1,-5.0,-1.5187,3.4813,0.7859
Li1Sc2Br7_icsd_074876_1,LiSc2Br7,False,-3.934,-0.6594,0.1,-5.0,-2.754,2.246,0.7357
Li1Sc2Hf1Br11_icsd_081223_1,LiHfSc2Br11,False,-4.079,-0.5537,0.0667,-5.0,-2.2705,2.7295,0.7274
K1Sc2I7_icsd_067168_1,KSc2I7,False,-3.492,-0.5504,0.1,-5.0,-1.7373,3.2627,0.7587
Na1Sc2I7_icsd_067168_1,NaSc2I7,False,-3.446,-0.5374,0.1,-5.0,-1.3507,3.6493,0.7658
Na1Al2Br7_icsd_050701_1,NaAl2Br7,False,-3.272,-0.5264,0.1,-5.0,-2.0973,2.9027,0.7319
K1Al2Br7_icsd_000012_1,KAl2Br7,False,-3.298,-0.523,0.1,-5.0,-2.6667,2.3333,0.722
Li1Al2Br7_icsd_074876_1,LiAl2Br7,False,-3.293,-0.5012,0.1,-5.0,-2.3353,2.6647,0.7251
Li1Y2Hf1Br11_icsd_081223_1,LiY2HfBr11,False,-4.212,-0.4873,0.0667,-5.0,-2.4115,2.5885,0.7177
Na1Y2Hf1Br11_icsd_081223_1,NaY2HfBr11,False,-4.188,-0.4813,0.0667,-5.0,-2.553,2.447,0.7146
K1Y2Hf1Br11_icsd_081223_1,KY2HfBr11,False,-4.204,-0.4667,0.0667,-5.0,-3.457,1.543,0.6894
Na1Sc2Hf1Br11_icsd_081223_1,NaHfSc2Br11,False,-4.005,-0.455,0.0667,-5.0,-3.0467,1.9533,0.6926
K1Sc2Hf1Br11_icsd_081223_1,KHfSc2Br11,False,-4.026,-0.4393,0.0667,-5.0,-4.3605,0.6395,0.6763
Li1Sc2I7_icsd_074876_1,LiSc2I7,False,-3.405,-0.4382,0.1,-5.0,-2.6953,2.3047,0.7121
Na1Sc3F9I1_icsd_028012_2,NaSc3IF9,False,-5.895,-0.4187,0.0714,-5.0,-5.0,0.0,0.6676
K1Hf1Al2Br11_icsd_081223_1,KHfAl2Br11,False,-3.606,-0.3814,0.0667,-5.0,-2.9799,2.0201,0.6964
Li1Sc3F9Cl1_icsd_010384_2,LiSc3ClF9,False,-5.88,-0.3711,0.0714,-5.0,-5.0,0.0,0.6623
K1Ti2F9_icsd_084364_1,KTi2F9,False,-5.816,-0.3645,0.0833,-5.0,-2.5482,2.4518,0.7041
Na1Sc3F9Cl1_icsd_018100_2,NaSc3ClF9,False,-5.811,-0.3608,0.0714,-5.0,-5.0,0.0,0.6611
Na1Ti2F9_icsd_084364_1,NaTi2F9,False,-5.776,-0.3327,0.0833,-5.0,-2.9437,2.0563,0.6939
Li1Sc3F9Br1_icsd_018100_2,LiSc3BrF9,False,-5.86,-0.3218,0.0714,-5.0,-5.0,0.0,0.6568
Na1Sc3F9Br1_icsd_018100_2,NaSc3BrF9,False,-5.791,-0.3194,0.0714,-5.0,-5.0,0.0,0.6565
Li1Hf1Al2Br11_icsd_081223_1,LiHfAl2Br11,False,-3.519,-0.3081,0.0667,-5.0,-3.3118,1.6882,0.6734
Na1Sc2Ti1F11_icsd_081223_1,NaSc2TiF11,False,-6.146,-0.2923,0.0667,-5.0,-2.3557,2.6443,0.6969
Li1Sc2Ti1F11_icsd_081223_1,LiSc2TiF11,False,-6.199,-0.2666,0.0667,-5.0,-3.0907,1.9093,0.6712
Na1Sc3Br8I2_icsd_067711_1,NaSc3(IBr4)2,False,-3.96,-0.2617,0.0714,-5.0,-1.0493,3.9507,0.7379
Li1Sc3Br8I2_icsd_067711_1,LiSc3(IBr4)2,False,-3.984,-0.2583,0.0714,-5.0,-1.2033,3.7967,0.7341
K1Sc3F8Br2_icsd_067711_1,KSc3(BrF4)2,False,-5.736,-0.2506,0.0714,-5.0,-5.0,0.0,0.6489
Li1Ti2Zn1F11_icsd_078867_1,LiTi2ZnF11,False,-5.448,-0.2304,0.0667,-5.0,-3.6607,1.3393,0.6608
K1Sc2Ti1F11_icsd_081223_1,KSc2TiF11,False,-6.118,-0.229,0.0667,-5.0,-5.0,0.0,0.6458
Li1Ti2Hg1F11_icsd_078867_2,LiTi2HgF11,False,-5.199,-0.2242,0.0667,-5.0,-5.0,0.0,0.6453
Na1Hf1Al2Br11_icsd_081223_1,NaHfAl2Br11,False,-3.423,-0.2213,0.0667,-5.0,-5.0,0.0,0.645
Li1Sc3F8I2_icsd_067711_1,LiSc3(IF4)2,False,-5.612,-0.2045,0.0714,-5.0,-5.0,0.0,0.6438
Na1W2Zn4N7_icsd_100778_1,NaZn4W2N7,False,-6.269,-0.1903,0.0714,-3.8693,-0.6435,3.2258,0.6924
Na1La1N8P4_icsd_001838_1,NaLa(PN2)4,False,-7.497,-0.1895,0.0714,-5.0,-0.7279,4.2721,0.737
K3W1N3_icsd_074969_1,K3WN3,False,-5.785,-0.1867,0.4286,-0.9706,0.0,0.9706,0.7617
Li1Ti1F5_icsd_064674_2,LiTiF5,False,-5.725,-0.1791,0.1429,-5.0,-3.0518,1.9482,0.6725
Li1Sc3F9I1_icsd_018100_2,LiSc3IF9,False,-5.838,-0.168,0.0714,-5.0,-5.0,0.0,0.6397
Na2Hf1O3_icsd_025019_1,Na2HfO3,False,-6.937,-0.1673,0.3333,-2.9538,0.0,2.9538,0.7715
K1Sc3Br2I8_icsd_067711_1,KSc3(I4Br)2,False,-3.534,-0.1564,0.0714,-5.0,-5.0,0.0,0.6384
Na2Zr1O3_icsd_025019_1,Na2ZrO3,False,-6.597,-0.1544,0.3333,-2.9245,0.0,2.9245,0.7696
K3B1O3_icsd_391170_1,K3BO3,False,-5.462,-0.1527,0.4286,-2.3278,0.0,2.3278,0.7859
Li1W2Zn4N7_icsd_100778_1,LiZn4W2N7,False,-6.362,-0.1518,0.0714,-4.6113,-1.4279,3.1834,0.7086
Li1La1N8P4_icsd_280042_2,LiLa(PN2)4,False,-7.517,-0.1488,0.0714,-5.0,-2.0556,2.9444,0.6866
K1W1F4N1_icsd_072740_1,KWNF4,False,-6.137,-0.1454,0.1429,-3.8256,-2.2306,1.595,0.637
Li1Sc2Y1F2Br8_icsd_408052_1,LiYSc2(Br4F)2,False,-4.548,-0.1444,0.0714,-5.0,-3.306,1.694,0.6559
K1Y1S2_icsd_420136_1,KYS2,True,-5.622,-0.1385,0.25,-2.7702,0.0,2.7702,0.7074
Li1Sc3F6Br4_icsd_060959_1,LiSc3(Br2F3)2,False,-5.368,-0.1374,0.0714,-5.0,-3.032,1.968,0.6582
Li1Hf2N3_icsd_088097_1,LiHf2N3,False,-8.745,-0.1294,0.1667,-2.235,-0.2948,1.9401,0.6686
Li1Ge2N3_icsd_034118_1,LiGe2N3,True,-6.358,-0.1284,0.1667,-2.0581,-0.9109,1.1472,0.6562
Li1Sc1Y2Cl2Br8_icsd_408052_1,LiY2Sc(Br4Cl)2,False,-4.331,-0.1282,0.0714,-5.0,-3.1869,1.8131,0.6554
Li1Hf2Br7O1_icsd_161499_2,LiHf2Br7O,False,-4.869,-0.1276,0.0909,-5.0,-2.0456,2.9544,0.6872
Na1Y1N8P4_icsd_037011_1,NaY(PN2)4,False,-7.581,-0.1269,0.0714,-4.9383,-0.8309,4.1073,0.7264
Li2Hf1N2_Li2Hf1N2_sg71_icsd_641302_2_1,Li2HfN2,False,-6.927,-0.1266,0.4,-1.2,0.0,1.2,0.7496
Na1Sc3Cl2I8_icsd_067711_1,NaSc3(I4Cl)2,False,-3.733,-0.123,0.0714,-5.0,-1.4203,3.5797,0.7142
Na3O4P1_icsd_076969_1,Na3PO4,True,-5.771,-0.1229,0.375,-3.1818,-0.179,3.0028,0.778
K3W1S3N1_icsd_098651_1,K3WS3N,False,-5.178,-0.122,0.375,-1.8536,-1.0216,0.832,0.7324
Na1Sc1S2_icsd_153678_1,NaScS2,True,-5.419,-0.1212,0.25,-2.4956,-0.0347,2.4609,0.7001
Na2Hf1S3_icsd_261236_1,Na2HfS3,False,-5.37,-0.1189,0.3333,-2.4281,-0.4539,1.9742,0.7363
K1Sb2F11_icsd_420871_1,KSb2F11,True,-4.539,-0.1189,0.0714,-5.0,-5.0,0.0,0.6342
Na1Sc3F8Br2_icsd_067711_1,NaSc3(BrF4)2,False,-5.746,-0.118,0.0714,-5.0,-5.0,0.0,0.6341
Li2Zr1Br6_Zn1Sb2S6_sg148_icsd_078684_1_1,Li2ZrBr6,False,-3.77,-0.1178,0.2222,-4.389,-1.7546,2.6344,0.7136
Li2Hf1Br6_Zn1Sb2S6_sg148_icsd_078684_1_1,Li2HfBr6,False,-3.952,-0.1167,0.2222,-4.63,-1.3193,3.3107,0.7285
Na2Zr1S3_icsd_412158_1,Na2ZrS3,False,-5.098,-0.1165,0.3333,-2.3295,-0.4974,1.8321,0.7342
Li1Al1O2_icsd_656277_1,LiAlO2,True,-6.641,-0.1161,0.25,-3.8337,-0.5151,3.3185,0.7112
Li1Al3Cl2Br8_icsd_020114_1,LiAl3(Br4Cl)2,False,-3.387,-0.1154,0.0714,-5.0,-2.431,2.569,0.6767
K1Al1S2_icsd_170788_1,KAlS2,False,-4.586,-0.1112,0.25,-2.9635,-0.9027,2.0608,0.6875
Li1Ti2N3_icsd_088097_1,LiTi2N3,False,-7.728,-0.1096,0.1667,-1.954,-0.639,1.315,0.6575
K1Sc1S2_icsd_262056_1,KScS2,False,-5.401,-0.1088,0.25,-2.6508,0.0,2.6508,0.7021
Na2Sn1O3_icsd_091132_1,Na2SnO3,True,-5.323,-0.1082,0.3333,-3.093,-0.7873,2.3057,0.7498
K2W1Ge1N4_icsd_034564_1,K2GeWN4,False,-6.583,-0.1081,0.25,-1.4229,-0.434,0.9889,0.6664
