id,reduced_comp,in_icsd,num_atoms,relaxed_volume,predicted_energy,vol_energyperatom,full_energyperatom,predicted_decomp,decomp_energy,sc_decomp_energy,mv_id,Formula,E_hull-m (eV/atom),Final M3GNet energy (eV),Form. Energy E_f (eV/atom),Band Gap E_g (eV),Bulk Modulus K (GPa),Shear Modulus G (GPa),Metal Prob.
Li1Sc2F7_icsd_016350_1,LiSc2F7,False,10,148.01,-6.136,-6.1712,-6.302,-1.6281,-1.7941,-1.7931,mv-17612835,LiSc2F7,0.041,-130.096,-4.042,5.783,32.6,17.8,0.0
Na1Sc2F7_icsd_047227_1,NaSc2F7,False,20,292.42,-6.1389,-6.1818,-6.184,-2.9129,-2.9579,-1.758,mv-19344622,NaSc2F7,0.013,-128.814,-4.03,5.947,30.1,19.3,0.0
K1Y2Br7_icsd_201429_1,KY2Br7,False,40,1436.96,-4.2552,-4.2483,-4.252,-1.7122,-1.709,-0.8412,mv-19344925,KY2Br7,0.043,-87.833,-1.865,3.441,17.7,6.3,0.0
Na1Y2Br7_icsd_201429_1,NaY2Br7,False,40,1471.84,-4.1781,-4.1744,-4.206,-1.3689,-1.3968,-0.83,mv-19344703,NaY2Br7,0.048,-87.43,-1.834,3.541,18.1,10.1,0.0
Li1Y2Br7_icsd_201429_1,LiY2Br7,False,40,1411.76,-4.1759,-4.1644,-4.233,-1.5968,-1.6539,-0.8084,mv-17613089,LiY2Br7,0.05,-88.527,-1.815,3.437,18.2,7.3,0.0
K1Sc2Br7_icsd_067168_1,KSc2Br7,False,20,696.85,-4.0274,-4.0154,-4.026,-1.5925,-1.591,-0.7766,mv-21560483,KSc2Br7,-0.016,-84.523,-1.698,3.081,17.4,5.0,0.0
Na1Sc2Br7_icsd_067168_1,NaSc2Br7,False,20,672.99,-3.934,-3.9321,-3.971,-1.2446,-1.2816,-0.7522,mv-19344696,NaSc2Br7,0.004,-84.011,-1.676,3.183,22.4,11.7,0.02
Li1Sc2Br7_icsd_074876_1,LiSc2Br7,False,20,857.24,-3.9388,-3.9109,-3.934,-1.4677,-1.4629,-0.6594,mv-17612837,LiSc2Br7,-0.0,-85.042,-1.672,2.967,20.2,9.3,0.03
Li1Sc2Hf1Br11_icsd_081223_1,LiHfSc2Br11,False,15,511.14,-3.9673,-3.958,-4.079,-1.4173,-1.5289,-0.5537,,,,,,,,,
K1Sc2I7_icsd_067168_1,KSc2I7,False,20,880.84,-3.48,-3.4741,-3.492,-1.1164,-1.1284,-0.5504,,,,,,,,,
Na1Sc2I7_icsd_067168_1,NaSc2I7,False,20,894.75,-3.3991,-3.3898,-3.446,-1.0585,-1.1054,-0.5374,,,,,,,,,
Na1Al2Br7_icsd_050701_1,NaAl2Br7,False,40,1894.64,-3.2567,-3.2395,-3.272,-1.0672,-1.0826,-0.5264,mv-20796327,NaAl2Br7,0.002,-130.62,-1.242,4.181,8.7,6.5,0.0
K1Al2Br7_icsd_000012_1,KAl2Br7,False,40,1550.34,-3.2995,-3.2893,-3.298,-1.0945,-1.093,-0.523,mv-19344915,KAl2Br7,-0.006,-66.175,-1.295,4.089,7.3,3.5,0.0
Li1Al2Br7_icsd_074876_1,LiAl2Br7,False,20,732.62,-3.2936,-3.2775,-3.293,-1.0525,-1.0519,-0.5012,mv-20796216,LiAl2Br7,-0.005,-131.943,-1.214,4.273,8.1,3.7,0.0
Li1Y2Hf1Br11_icsd_081223_1,LiY2HfBr11,False,15,517.6,-4.1112,-4.0973,-4.212,-1.4892,-1.5899,-0.4873,,,,,,,,,
Na1Y2Hf1Br11_icsd_081223_1,NaY2HfBr11,False,15,538.96,-4.1109,-4.0867,-4.188,-1.3355,-1.4125,-0.4813,,,,,,,,,
K1Y2Hf1Br11_icsd_081223_1,KY2HfBr11,False,15,570.58,-4.1248,-4.0969,-4.204,-1.5268,-1.606,-0.4667,,,,,,,,,
Na1Sc2Hf1Br11_icsd_081223_1,NaHfSc2Br11,False,15,501.11,-3.9599,-3.9408,-4.005,-1.2643,-1.3094,-0.455,,,,,,,,,
K1Sc2Hf1Br11_icsd_081223_1,KHfSc2Br11,False,15,533.96,-3.9522,-3.9376,-4.026,-1.4263,-1.5,-0.4393,,,,,,,,,
Li1Sc2I7_icsd_074876_1,LiSc2I7,False,20,1099.63,-3.3987,-3.379,-3.405,-0.6274,-0.6337,-0.4382,,,,,,,,,
Na1Sc3F9I1_icsd_028012_2,NaSc3IF9,False,28,683.41,-5.653,-5.6333,-5.895,-1.747,-1.9894,-0.4187,,,,,,,,,
K1Hf1Al2Br11_icsd_081223_1,KHfAl2Br11,False,15,840.4,-3.2566,-3.2458,-3.606,-0.884,-1.2334,-0.3814,,,,,,,,,
Li1Sc3F9Cl1_icsd_010384_2,LiSc3ClF9,False,28,570.39,-5.7295,-5.716,-5.88,-1.5777,-1.7282,-0.3711,,,,,,,,,
K1Ti2F9_icsd_084364_1,KTi2F9,False,24,435.99,-5.5334,-5.4815,-5.816,-0.2641,-0.5468,-0.3645,mv-10668224,KTi2F9,-0.001,-147.113,-3.652,4.84,14.3,7.0,0.0
Na1Sc3F9Cl1_icsd_018100_2,NaSc3ClF9,False,28,615.7,-5.699,-5.6848,-5.811,-2.463,-2.5748,-0.3608,,,,,,,,,
